Country,Year,State,Type of Region,Month,Peak electricity demand (UOM:MW(MegaWatt)) |Scaling Factor:1,Peak electricity met (UOM:MW(MegaWatt)) |Scaling Factor:1,"Peak Electricity Demand Not Met (UOM:MW(Megawatt)), Scaling Factor:1","Percentage Of Peak Electricity Demand Not Met (UOM:%(Percentage)), Scaling Factor:1"
India,"Financial Year (Apr - Mar), 2023",Mizoram,North East Region,"April, 2023",127.228,127,0.23,0.00%
India,"Financial Year (Apr - Mar), 2023",NagalAnd,North East Region,"April, 2023",150,150,0,0.00%
India,"Financial Year (Apr - Mar), 2023",Odisha,Eastern Region,"April, 2023",6236.618345,6236.618345,0,0.00%
India,"Financial Year (Apr - Mar), 2023",Puducherry,Southern Region,"April, 2023",484.943604,484.943604,0,0.00%
India,"Financial Year (Apr - Mar), 2023",Punjab,Northern Region,"April, 2023",8187,8187,0,0.00%
India,"Financial Year (Apr - Mar), 2023",Rajasthan,Northern Region,"April, 2023",13776,13776,0,0.00%
India,"Financial Year (Apr - Mar), 2023",Sikkim,Eastern Region,"April, 2023",105.6661929,105.601512,0.06,0.00%
India,"Financial Year (Apr - Mar), 2023",Tamil Nadu,Southern Region,"April, 2023",19044.7801,19044.7801,0,0.00%
India,"Financial Year (Apr - Mar), 2023",Telangana,Southern Region,"April, 2023",14591.04,14499,92.04,1.00%
India,"Financial Year (Apr - Mar), 2023",The Dadra And Nagar Haveli And Daman And Diu,Western Region,"April, 2023",1271,1271,0,0.00%
India,"Financial Year (Apr - Mar), 2023",Tripura,North East Region,"April, 2023",338,338,0,0.00%
India,"Financial Year (Apr - Mar), 2023",Uttar Pradesh,Northern Region,"April, 2023",23473,23473,0,0.00%
India,"Financial Year (Apr - Mar), 2023",UttarakhAnd,Northern Region,"April, 2023",2228,2228,0,0.00%
India,"Financial Year (Apr - Mar), 2023",West Bengal,Eastern Region,"April, 2023",11418.39775,11414.44956,3.95,0.00%
India,"Financial Year (Apr - Mar), 2022",Andaman And Nicobar IslAnds,Eastern Region,"March, 2023",60,57,3,5.00%
India,"Financial Year (Apr - Mar), 2022",Andhra Pradesh,Southern Region,"March, 2023",12227,12227,0,0.00%
India,"Financial Year (Apr - Mar), 2022",Arunachal Pradesh,North East Region,"March, 2023",167,167,0,0.00%
India,"Financial Year (Apr - Mar), 2022",Assam,North East Region,"March, 2023",1670,1670,0,0.00%
India,"Financial Year (Apr - Mar), 2022",Bihar,Eastern Region,"March, 2023",5289.328132,5266.591679,22.74,0.00%
India,"Financial Year (Apr - Mar), 2022",ChAndigarh,Northern Region,"March, 2023",204,204,0,0.00%
India,"Financial Year (Apr - Mar), 2022",Chhattisgarh,Western Region,"March, 2023",5398.75,5398.75,0,0.00%
India,"Financial Year (Apr - Mar), 2022",Delhi,Northern Region,"March, 2023",3979,3979,0,0.00%
India,"Financial Year (Apr - Mar), 2022",Goa,Western Region,"March, 2023",718,718,0,0.00%
India,"Financial Year (Apr - Mar), 2022",Gujarat,Western Region,"March, 2023",19464,19464,0,0.00%
India,"Financial Year (Apr - Mar), 2022",Haryana,Northern Region,"March, 2023",7732,7732,0,0.00%
India,"Financial Year (Apr - Mar), 2022",Himachal Pradesh,Northern Region,"March, 2023",1922,1922,0,0.00%
India,"Financial Year (Apr - Mar), 2022",JharkhAnd,Eastern Region,"March, 2023",1969.959294,1719.133654,250.83,13.00%
India,"Financial Year (Apr - Mar), 2022",Karnataka,Southern Region,"March, 2023",15828,15828,0,0.00%
India,"Financial Year (Apr - Mar), 2022",Kerala,Southern Region,"March, 2023",4503.9574,4503.9574,0,0.00%
India,"Financial Year (Apr - Mar), 2022",Lakshadweep,Southern Region,"March, 2023",12.30615,12.30615,0,0.00%
India,"Financial Year (Apr - Mar), 2022",Madhya Pradesh,Western Region,"March, 2023",14298,14298,0,0.00%
India,"Financial Year (Apr - Mar), 2022",Maharashtra,Western Region,"March, 2023",28576.13815,28566.14,10,0.00%
India,"Financial Year (Apr - Mar), 2022",Manipur,North East Region,"March, 2023",212,212,0,0.00%
India,"Financial Year (Apr - Mar), 2022",Meghalaya,North East Region,"March, 2023",374,374,0,0.00%
India,"Financial Year (Apr - Mar), 2022",Mizoram,North East Region,"March, 2023",129.039,129,0.04,0.00%
India,"Financial Year (Apr - Mar), 2022",NagalAnd,North East Region,"March, 2023",156,156,0,0.00%
India,"Financial Year (Apr - Mar), 2022",Odisha,Eastern Region,"March, 2023",5541.519552,5538.959818,2.56,0.00%
India,"Financial Year (Apr - Mar), 2022",Puducherry,Southern Region,"March, 2023",452.639587,452.639587,0,0.00%
India,"Financial Year (Apr - Mar), 2022",Punjab,Northern Region,"March, 2023",8840,8840,0,0.00%
India,"Financial Year (Apr - Mar), 2022",Rajasthan,Northern Region,"March, 2023",15833,15637,196,1.00%
India,"Financial Year (Apr - Mar), 2022",Sikkim,Eastern Region,"March, 2023",112.7529894,112.644569,0.11,0.00%
India,"Financial Year (Apr - Mar), 2022",Tamil Nadu,Southern Region,"March, 2023",17729.2772,17729.2772,0,0.00%
India,"Financial Year (Apr - Mar), 2022",Telangana,Southern Region,"March, 2023",15497,15497,0,0.00%
India,"Financial Year (Apr - Mar), 2022",The Dadra And Nagar Haveli And Daman And Diu,Western Region,"March, 2023",1272,1272,0,0.00%
India,"Financial Year (Apr - Mar), 2022",Tripura,North East Region,"March, 2023",264,264,0,0.00%
India,"Financial Year (Apr - Mar), 2022",Uttar Pradesh,Northern Region,"March, 2023",19572,19572,0,0.00%
India,"Financial Year (Apr - Mar), 2022",UttarakhAnd,Northern Region,"March, 2023",2185,2185,0,0.00%
India,"Financial Year (Apr - Mar), 2022",West Bengal,Eastern Region,"March, 2023",8802.741602,8802.741602,0,0.00%
India,"Financial Year (Apr - Mar), 2022",Andaman And Nicobar IslAnds,Eastern Region,"February, 2023",58.5,58.5,0,0.00%
India,"Financial Year (Apr - Mar), 2022",Andhra Pradesh,Southern Region,"February, 2023",11981,11981,0,0.00%
India,"Financial Year (Apr - Mar), 2022",Arunachal Pradesh,North East Region,"February, 2023",159.382,159,0.38,0.00%
India,"Financial Year (Apr - Mar), 2022",Assam,North East Region,"February, 2023",1572,1572,0,0.00%
India,"Financial Year (Apr - Mar), 2022",Bihar,Eastern Region,"February, 2023",5026.984809,5003.834361,23.15,0.00%
India,"Financial Year (Apr - Mar), 2022",ChAndigarh,Northern Region,"February, 2023",295,295,0,0.00%
India,"Financial Year (Apr - Mar), 2022",Chhattisgarh,Western Region,"February, 2023",5325.75,5325.75,0,0.00%
India,"Financial Year (Apr - Mar), 2022",Delhi,Northern Region,"February, 2023",4667,4667,0,0.00%
India,"Financial Year (Apr - Mar), 2022",Goa,Western Region,"February, 2023",688.7224,688,0.72,0.00%
India,"Financial Year (Apr - Mar), 2022",Gujarat,Western Region,"February, 2023",19185,19185,0,0.00%
India,"Financial Year (Apr - Mar), 2022",Haryana,Northern Region,"February, 2023",8570,8570,0,0.00%
India,"Financial Year (Apr - Mar), 2022",Himachal Pradesh,Northern Region,"February, 2023",1977,1977,0,0.00%
India,"Financial Year (Apr - Mar), 2022",JharkhAnd,Eastern Region,"February, 2023",2018.717027,1702.922495,315.79,16.00%
India,"Financial Year (Apr - Mar), 2022",Karnataka,Southern Region,"February, 2023",15543,15543,0,0.00%
India,"Financial Year (Apr - Mar), 2022",Kerala,Southern Region,"February, 2023",4198.0238,4198.0238,0,0.00%
India,"Financial Year (Apr - Mar), 2022",Lakshadweep,Southern Region,"February, 2023",11.2976,11.2976,0,0.00%
India,"Financial Year (Apr - Mar), 2022",Madhya Pradesh,Western Region,"February, 2023",15874.59357,15857.94273,16.65,0.00%
India,"Financial Year (Apr - Mar), 2022",Maharashtra,Western Region,"February, 2023",28518.9493,28499,19.95,0.00%
India,"Financial Year (Apr - Mar), 2022",Manipur,North East Region,"February, 2023",225,225,0,0.00%
India,"Financial Year (Apr - Mar), 2022",Meghalaya,North East Region,"February, 2023",394,394,0,0.00%
India,"Financial Year (Apr - Mar), 2022",Mizoram,North East Region,"February, 2023",139.459,139,0.46,0.00%
India,"Financial Year (Apr - Mar), 2022",NagalAnd,North East Region,"February, 2023",148,148,0,0.00%
India,"Financial Year (Apr - Mar), 2022",Odisha,Eastern Region,"February, 2023",5567.316364,5563.421969,3.89,0.00%
India,"Financial Year (Apr - Mar), 2022",Puducherry,Southern Region,"February, 2023",421.442413,421.442413,0,0.00%
India,"Financial Year (Apr - Mar), 2022",Punjab,Northern Region,"February, 2023",8864,8864,0,0.00%
India,"Financial Year (Apr - Mar), 2022",Rajasthan,Northern Region,"February, 2023",16754,16754,0,0.00%
India,"Financial Year (Apr - Mar), 2022",Sikkim,Eastern Region,"February, 2023",120.503906,120.503906,0,0.00%
India,"Financial Year (Apr - Mar), 2022",Tamil Nadu,Southern Region,"February, 2023",16459.2162,16459.2162,0,0.00%
India,"Financial Year (Apr - Mar), 2022",Telangana,Southern Region,"February, 2023",14794,14794,0,0.00%
India,"Financial Year (Apr - Mar), 2022",The Dadra And Nagar Haveli And Daman And Diu,Western Region,"February, 2023",1278,1278,0,0.00%
India,"Financial Year (Apr - Mar), 2022",Tripura,North East Region,"February, 2023",252,252,0,0.00%
India,"Financial Year (Apr - Mar), 2022",Uttar Pradesh,Northern Region,"February, 2023",18602,18602,0,0.00%
India,"Financial Year (Apr - Mar), 2022",UttarakhAnd,Northern Region,"February, 2023",2368,2218,150,6.00%
India,"Financial Year (Apr - Mar), 2022",West Bengal,Eastern Region,"February, 2023",7788.77552,7788.77552,0,0.00%
India,"Financial Year (Apr - Mar), 2022",Andaman And Nicobar IslAnds,Eastern Region,"January, 2023",60,60,0,0.00%
India,"Financial Year (Apr - Mar), 2022",Andhra Pradesh,Southern Region,"January, 2023",11471.784,11433,38.78,0.00%
India,"Financial Year (Apr - Mar), 2022",Arunachal Pradesh,North East Region,"January, 2023",166,166,0,0.00%
India,"Financial Year (Apr - Mar), 2022",Assam,North East Region,"January, 2023",1651.379,1643,8.38,1.00%
India,"Financial Year (Apr - Mar), 2022",Bihar,Eastern Region,"January, 2023",5793.962465,5586.446709,207.52,4.00%
India,"Financial Year (Apr - Mar), 2022",ChAndigarh,Northern Region,"January, 2023",323,323,0,0.00%
India,"Financial Year (Apr - Mar), 2022",Chhattisgarh,Western Region,"January, 2023",5142.317888,5129.75,12.57,0.00%
India,"Financial Year (Apr - Mar), 2022",Delhi,Northern Region,"January, 2023",5623,5526,97,2.00%
India,"Financial Year (Apr - Mar), 2022",Goa,Western Region,"January, 2023",676.682125,675.5,1.18,0.00%
India,"Financial Year (Apr - Mar), 2022",Gujarat,Western Region,"January, 2023",19699.2818,19658,41.28,0.00%
India,"Financial Year (Apr - Mar), 2022",Haryana,Northern Region,"January, 2023",8259,8259,0,0.00%
India,"Financial Year (Apr - Mar), 2022",Himachal Pradesh,Northern Region,"January, 2023",2071,2071,0,0.00%
India,"Financial Year (Apr - Mar), 2022",JharkhAnd,Eastern Region,"January, 2023",2061.469723,1774.86035,286.61,14.00%
India,"Financial Year (Apr - Mar), 2022",Karnataka,Southern Region,"January, 2023",14972,14972,0,0.00%
India,"Financial Year (Apr - Mar), 2022",Kerala,Southern Region,"January, 2023",3979.5527,3979.5527,0,0.00%
India,"Financial Year (Apr - Mar), 2022",Lakshadweep,Southern Region,"January, 2023",11.48965,11.48965,0,0.00%
India,"Financial Year (Apr - Mar), 2022",Madhya Pradesh,Western Region,"January, 2023",17346.5997,17238,108.6,1.00%
India,"Financial Year (Apr - Mar), 2022",Maharashtra,Western Region,"January, 2023",27860.1,27860.1,0,0.00%
India,"Financial Year (Apr - Mar), 2022",Manipur,North East Region,"January, 2023",248,248,0,0.00%
India,"Financial Year (Apr - Mar), 2022",Meghalaya,North East Region,"January, 2023",404.121,404,0.12,0.00%
India,"Financial Year (Apr - Mar), 2022",Mizoram,North East Region,"January, 2023",159,159,0,0.00%
India,"Financial Year (Apr - Mar), 2022",NagalAnd,North East Region,"January, 2023",139,139,0,0.00%
India,"Financial Year (Apr - Mar), 2022",Odisha,Eastern Region,"January, 2023",5221.324291,5221.324291,0,0.00%
India,"Financial Year (Apr - Mar), 2022",Puducherry,Southern Region,"January, 2023",496.1787473,495.343414,0.84,0.00%
India,"Financial Year (Apr - Mar), 2022",Punjab,Northern Region,"January, 2023",9063,9063,0,0.00%
India,"Financial Year (Apr - Mar), 2022",Rajasthan,Northern Region,"January, 2023",17399,17206,193,1.00%
India,"Financial Year (Apr - Mar), 2022",Sikkim,Eastern Region,"January, 2023",123.1068513,122.7501,0.36,0.00%
India,"Financial Year (Apr - Mar), 2022",Tamil Nadu,Southern Region,"January, 2023",15720.2372,15716.8212,3.42,0.00%
India,"Financial Year (Apr - Mar), 2022",Telangana,Southern Region,"January, 2023",13906,13906,0,0.00%
India,"Financial Year (Apr - Mar), 2022",The Dadra And Nagar Haveli And Daman And Diu,Western Region,"January, 2023",1240,1240,0,0.00%
India,"Financial Year (Apr - Mar), 2022",Tripura,North East Region,"January, 2023",248.773,248,0.77,0.00%
India,"Financial Year (Apr - Mar), 2022",Uttar Pradesh,Northern Region,"January, 2023",21342,21342,0,0.00%
India,"Financial Year (Apr - Mar), 2022",UttarakhAnd,Northern Region,"January, 2023",2492,2492,0,0.00%
India,"Financial Year (Apr - Mar), 2022",West Bengal,Eastern Region,"January, 2023",7111.947111,7108.215298,3.73,0.00%
India,"Financial Year (Apr - Mar), 2022",Andaman And Nicobar IslAnds,Eastern Region,"December, 2022",60,60,0,0.00%
India,"Financial Year (Apr - Mar), 2022",Andhra Pradesh,Southern Region,"December, 2022",10268,10268,0,0.00%
India,"Financial Year (Apr - Mar), 2022",Arunachal Pradesh,North East Region,"December, 2022",145,145,0,0.00%
India,"Financial Year (Apr - Mar), 2022",Assam,North East Region,"December, 2022",1590,1590,0,0.00%
India,"Financial Year (Apr - Mar), 2022",Bihar,Eastern Region,"December, 2022",5118.08953,5114.956619,3.13,0.00%
India,"Financial Year (Apr - Mar), 2022",ChAndigarh,Northern Region,"December, 2022",282,282,0,0.00%
India,"Financial Year (Apr - Mar), 2022",Chhattisgarh,Western Region,"December, 2022",4814.338925,4804.25,10.09,0.00%
India,"Financial Year (Apr - Mar), 2022",Delhi,Northern Region,"December, 2022",4964,4964,0,0.00%
India,"Financial Year (Apr - Mar), 2022",Goa,Western Region,"December, 2022",689.25,689.25,0,0.00%
India,"Financial Year (Apr - Mar), 2022",Gujarat,Western Region,"December, 2022",20146.19425,20111,35.19,0.00%
India,"Financial Year (Apr - Mar), 2022",Haryana,Northern Region,"December, 2022",8137,8137,0,0.00%
India,"Financial Year (Apr - Mar), 2022",Himachal Pradesh,Northern Region,"December, 2022",2004,2004,0,0.00%
India,"Financial Year (Apr - Mar), 2022",JharkhAnd,Eastern Region,"December, 2022",2138.184939,1708.063195,430.12,20.00%
India,"Financial Year (Apr - Mar), 2022",Karnataka,Southern Region,"December, 2022",13149,13149,0,0.00%
India,"Financial Year (Apr - Mar), 2022",Kerala,Southern Region,"December, 2022",3944.8696,3944.8696,0,0.00%
India,"Financial Year (Apr - Mar), 2022",Lakshadweep,Southern Region,"December, 2022",10.1361,10.1361,0,0.00%
India,"Financial Year (Apr - Mar), 2022",Madhya Pradesh,Western Region,"December, 2022",17140.77676,17110.83281,29.94,0.00%
India,"Financial Year (Apr - Mar), 2022",Maharashtra,Western Region,"December, 2022",27234,27234,0,0.00%
India,"Financial Year (Apr - Mar), 2022",Manipur,North East Region,"December, 2022",247,247,0,0.00%
India,"Financial Year (Apr - Mar), 2022",Meghalaya,North East Region,"December, 2022",395,395,0,0.00%
India,"Financial Year (Apr - Mar), 2022",Mizoram,North East Region,"December, 2022",143.344,143,0.34,0.00%
India,"Financial Year (Apr - Mar), 2022",NagalAnd,North East Region,"December, 2022",152.091,152,0.09,0.00%
India,"Financial Year (Apr - Mar), 2022",Odisha,Eastern Region,"December, 2022",4788.069237,4788.069237,0,0.00%
India,"Financial Year (Apr - Mar), 2022",Puducherry,Southern Region,"December, 2022",400.322692,400.322692,0,0.00%
India,"Financial Year (Apr - Mar), 2022",Punjab,Northern Region,"December, 2022",7989,7989,0,0.00%
India,"Financial Year (Apr - Mar), 2022",Rajasthan,Northern Region,"December, 2022",16777,16612,165,1.00%
India,"Financial Year (Apr - Mar), 2022",Sikkim,Eastern Region,"December, 2022",124.169088,124.169088,0,0.00%
India,"Financial Year (Apr - Mar), 2022",Tamil Nadu,Southern Region,"December, 2022",15304.8077,15304.8077,0,0.00%
India,"Financial Year (Apr - Mar), 2022",Telangana,Southern Region,"December, 2022",14017,14017,0,0.00%
India,"Financial Year (Apr - Mar), 2022",The Dadra And Nagar Haveli And Daman And Diu,Western Region,"December, 2022",1228,1228,0,0.00%
India,"Financial Year (Apr - Mar), 2022",Tripura,North East Region,"December, 2022",241,241,0,0.00%
India,"Financial Year (Apr - Mar), 2022",Uttar Pradesh,Northern Region,"December, 2022",19970,19970,0,0.00%
India,"Financial Year (Apr - Mar), 2022",UttarakhAnd,Northern Region,"December, 2022",2374,2224,150,6.00%
India,"Financial Year (Apr - Mar), 2022",West Bengal,Eastern Region,"December, 2022",6615.548058,6532.664872,82.88,1.00%
India,"Financial Year (Apr - Mar), 2022",Andaman And Nicobar IslAnds,Eastern Region,"November, 2022",58,58,0,0.00%
India,"Financial Year (Apr - Mar), 2022",Andhra Pradesh,Southern Region,"November, 2022",9588,9588,0,0.00%
India,"Financial Year (Apr - Mar), 2022",Arunachal Pradesh,North East Region,"November, 2022",125,125,0,0.00%
India,"Financial Year (Apr - Mar), 2022",Assam,North East Region,"November, 2022",1714,1714,0,0.00%
India,"Financial Year (Apr - Mar), 2022",Bihar,Eastern Region,"November, 2022",5001.507712,4703.695069,297.81,6.00%
India,"Financial Year (Apr - Mar), 2022",ChAndigarh,Northern Region,"November, 2022",254,254,0,0.00%
India,"Financial Year (Apr - Mar), 2022",Chhattisgarh,Western Region,"November, 2022",4097.5,4097.5,0,0.00%
India,"Financial Year (Apr - Mar), 2022",Delhi,Northern Region,"November, 2022",3941,3941,0,0.00%
India,"Financial Year (Apr - Mar), 2022",Goa,Western Region,"November, 2022",678.5,678.5,0,0.00%
India,"Financial Year (Apr - Mar), 2022",Gujarat,Western Region,"November, 2022",19704,19704,0,0.00%
India,"Financial Year (Apr - Mar), 2022",Haryana,Northern Region,"November, 2022",7578,7578,0,0.00%
India,"Financial Year (Apr - Mar), 2022",Himachal Pradesh,Northern Region,"November, 2022",1965,1965,0,0.00%
India,"Financial Year (Apr - Mar), 2022",JharkhAnd,Eastern Region,"November, 2022",2127.759699,1634.922927,492.84,23.00%
India,"Financial Year (Apr - Mar), 2022",Karnataka,Southern Region,"November, 2022",12463.08667,12448,15.09,0.00%
India,"Financial Year (Apr - Mar), 2022",Kerala,Southern Region,"November, 2022",3919.2452,3919.2452,0,0.00%
India,"Financial Year (Apr - Mar), 2022",Lakshadweep,Southern Region,"November, 2022",10.2074,10.2074,0,0.00%
India,"Financial Year (Apr - Mar), 2022",Madhya Pradesh,Western Region,"November, 2022",16085,16085,0,0.00%
India,"Financial Year (Apr - Mar), 2022",Maharashtra,Western Region,"November, 2022",25936.35455,25927.28,9.07,0.00%
India,"Financial Year (Apr - Mar), 2022",Manipur,North East Region,"November, 2022",219,219,0,0.00%
India,"Financial Year (Apr - Mar), 2022",Meghalaya,North East Region,"November, 2022",381,381,0,0.00%
India,"Financial Year (Apr - Mar), 2022",Mizoram,North East Region,"November, 2022",135,135,0,0.00%
India,"Financial Year (Apr - Mar), 2022",NagalAnd,North East Region,"November, 2022",165,165,0,0.00%
India,"Financial Year (Apr - Mar), 2022",Odisha,Eastern Region,"November, 2022",5527.331978,5527.331978,0,0.00%
India,"Financial Year (Apr - Mar), 2022",Puducherry,Southern Region,"November, 2022",417.536804,417.536804,0,0.00%
India,"Financial Year (Apr - Mar), 2022",Punjab,Northern Region,"November, 2022",7267,7267,0,0.00%
India,"Financial Year (Apr - Mar), 2022",Rajasthan,Northern Region,"November, 2022",16023,16023,0,0.00%
India,"Financial Year (Apr - Mar), 2022",Sikkim,Eastern Region,"November, 2022",115.5360967,115.414911,0.12,0.00%
India,"Financial Year (Apr - Mar), 2022",Tamil Nadu,Southern Region,"November, 2022",14856.2585,14856.2585,0,0.00%
India,"Financial Year (Apr - Mar), 2022",Telangana,Southern Region,"November, 2022",9953,9953,0,0.00%
India,"Financial Year (Apr - Mar), 2022",The Dadra And Nagar Haveli And Daman And Diu,Western Region,"November, 2022",1205,1205,0,0.00%
India,"Financial Year (Apr - Mar), 2022",Tripura,North East Region,"November, 2022",282.12,282,0.12,0.00%
India,"Financial Year (Apr - Mar), 2022",Uttar Pradesh,Northern Region,"November, 2022",17387,17387,0,0.00%
India,"Financial Year (Apr - Mar), 2022",UttarakhAnd,Northern Region,"November, 2022",2141,2141,0,0.00%
India,"Financial Year (Apr - Mar), 2022",West Bengal,Eastern Region,"November, 2022",7594.521709,7594.521709,0,0.00%
India,"Financial Year (Apr - Mar), 2022",Andaman And Nicobar IslAnds,Eastern Region,"October, 2022",58.7,58.7,0,0.00%
India,"Financial Year (Apr - Mar), 2022",Andhra Pradesh,Southern Region,"October, 2022",9878.3605,9847,31.36,0.00%
India,"Financial Year (Apr - Mar), 2022",Arunachal Pradesh,North East Region,"October, 2022",121,121,0,0.00%
India,"Financial Year (Apr - Mar), 2022",Assam,North East Region,"October, 2022",2309.553,2275,34.55,1.00%
India,"Financial Year (Apr - Mar), 2022",Bihar,Eastern Region,"October, 2022",6491.199482,6484.391318,6.81,0.00%
India,"Financial Year (Apr - Mar), 2022",ChAndigarh,Northern Region,"October, 2022",260,260,0,0.00%
India,"Financial Year (Apr - Mar), 2022",Chhattisgarh,Western Region,"October, 2022",4648.375675,4643.5,4.88,0.00%
India,"Financial Year (Apr - Mar), 2022",Delhi,Northern Region,"October, 2022",4990,4990,0,0.00%
India,"Financial Year (Apr - Mar), 2022",Goa,Western Region,"October, 2022",654.5,654.5,0,0.00%
India,"Financial Year (Apr - Mar), 2022",Meghalaya,North East Region,"June, 2022",342,342,0,0.00%
India,"Financial Year (Apr - Mar), 2022",Gujarat,Western Region,"October, 2022",20275.2667,20254,21.27,0.00%
India,"Financial Year (Apr - Mar), 2022",Haryana,Northern Region,"October, 2022",8663,8663,0,0.00%
India,"Financial Year (Apr - Mar), 2022",Himachal Pradesh,Northern Region,"October, 2022",1771,1771,0,0.00%
India,"Financial Year (Apr - Mar), 2022",JharkhAnd,Eastern Region,"October, 2022",2068.01334,1854.238523,213.77,10.00%
India,"Financial Year (Apr - Mar), 2022",Karnataka,Southern Region,"October, 2022",10306.47833,10292,14.48,0.00%
India,"Financial Year (Apr - Mar), 2022",Kerala,Southern Region,"October, 2022",4338.2348,4336.4918,1.74,0.00%
India,"Financial Year (Apr - Mar), 2022",Lakshadweep,Southern Region,"October, 2022",10.6743,10.6743,0,0.00%
India,"Financial Year (Apr - Mar), 2022",Madhya Pradesh,Western Region,"October, 2022",11752.22494,11752.22494,0,0.00%
India,"Financial Year (Apr - Mar), 2022",Maharashtra,Western Region,"October, 2022",22513,22513,0,0.00%
India,"Financial Year (Apr - Mar), 2022",Manipur,North East Region,"October, 2022",202,202,0,0.00%
India,"Financial Year (Apr - Mar), 2022",Meghalaya,North East Region,"October, 2022",356,356,0,0.00%
India,"Financial Year (Apr - Mar), 2022",Mizoram,North East Region,"October, 2022",127.114,127,0.11,0.00%
India,"Financial Year (Apr - Mar), 2022",NagalAnd,North East Region,"October, 2022",167.804,167,0.8,0.00%
India,"Financial Year (Apr - Mar), 2022",Odisha,Eastern Region,"October, 2022",6062.74658,6062.74658,0,0.00%
India,"Financial Year (Apr - Mar), 2022",Puducherry,Southern Region,"October, 2022",428.1528147,427.812148,0.34,0.00%
India,"Financial Year (Apr - Mar), 2022",Punjab,Northern Region,"October, 2022",11479,11479,0,0.00%
India,"Financial Year (Apr - Mar), 2022",Rajasthan,Northern Region,"October, 2022",14072,14072,0,0.00%
India,"Financial Year (Apr - Mar), 2022",Sikkim,Eastern Region,"October, 2022",101.8769126,101.557008,0.32,0.00%
India,"Financial Year (Apr - Mar), 2022",Tamil Nadu,Southern Region,"October, 2022",15216.88033,15215.823,1.06,0.00%
India,"Financial Year (Apr - Mar), 2022",Telangana,Southern Region,"October, 2022",11847.373,11821,26.37,0.00%
India,"Financial Year (Apr - Mar), 2022",The Dadra And Nagar Haveli And Daman And Diu,Western Region,"October, 2022",1243,1243,0,0.00%
India,"Financial Year (Apr - Mar), 2022",Tripura,North East Region,"October, 2022",321.000381,321,0,0.00%
India,"Financial Year (Apr - Mar), 2022",Uttar Pradesh,Northern Region,"October, 2022",22631,22631,0,0.00%
India,"Financial Year (Apr - Mar), 2022",UttarakhAnd,Northern Region,"October, 2022",2092,2092,0,0.00%
India,"Financial Year (Apr - Mar), 2022",West Bengal,Eastern Region,"October, 2022",9106.376469,9101.195849,5.18,0.00%
India,"Financial Year (Apr - Mar), 2022",Andaman And Nicobar IslAnds,Eastern Region,"September, 2022",57.5,57.5,0,0.00%
India,"Financial Year (Apr - Mar), 2022",Andhra Pradesh,Southern Region,"September, 2022",10920,10920,0,0.00%
India,"Financial Year (Apr - Mar), 2022",Arunachal Pradesh,North East Region,"September, 2022",144.475,144,0.47,0.00%
India,"Financial Year (Apr - Mar), 2022",Assam,North East Region,"September, 2022",2337.545,2308,29.55,1.00%
India,"Financial Year (Apr - Mar), 2022",Bihar,Eastern Region,"September, 2022",6820.66171,6546.192406,274.47,4.00%
India,"Financial Year (Apr - Mar), 2022",ChAndigarh,Northern Region,"September, 2022",374,374,0,0.00%
India,"Financial Year (Apr - Mar), 2022",Chhattisgarh,Western Region,"September, 2022",4916.72025,4915,1.72,0.00%
India,"Financial Year (Apr - Mar), 2022",Delhi,Northern Region,"September, 2022",6687,6687,0,0.00%
India,"Financial Year (Apr - Mar), 2022",Goa,Western Region,"September, 2022",646.75,646.75,0,0.00%
India,"Financial Year (Apr - Mar), 2022",Gujarat,Western Region,"September, 2022",20341,20341,0,0.00%
India,"Financial Year (Apr - Mar), 2022",Haryana,Northern Region,"September, 2022",12015,12015,0,0.00%
India,"Financial Year (Apr - Mar), 2022",Himachal Pradesh,Northern Region,"September, 2022",1748,1748,0,0.00%
India,"Financial Year (Apr - Mar), 2022",JharkhAnd,Eastern Region,"September, 2022",2080.546159,1796.649565,283.9,14.00%
India,"Financial Year (Apr - Mar), 2022",Karnataka,Southern Region,"September, 2022",11834.05417,11818,16.05,0.00%
India,"Financial Year (Apr - Mar), 2022",Kerala,Southern Region,"September, 2022",3864.028,3851.47,12.56,0.00%
India,"Financial Year (Apr - Mar), 2022",Lakshadweep,Southern Region,"September, 2022",11.06415,11.06415,0,0.00%
India,"Financial Year (Apr - Mar), 2022",Madhya Pradesh,Western Region,"September, 2022",10973,10973,0,0.00%
India,"Financial Year (Apr - Mar), 2022",Maharashtra,Western Region,"September, 2022",22573.6775,22550,23.68,0.00%
India,"Financial Year (Apr - Mar), 2022",Manipur,North East Region,"September, 2022",203.305,203,0.31,0.00%
India,"Financial Year (Apr - Mar), 2022",Meghalaya,North East Region,"September, 2022",354,354,0,0.00%
India,"Financial Year (Apr - Mar), 2022",Mizoram,North East Region,"September, 2022",127,127,0,0.00%
India,"Financial Year (Apr - Mar), 2022",NagalAnd,North East Region,"September, 2022",161.965,161,0.97,1.00%
India,"Financial Year (Apr - Mar), 2022",Odisha,Eastern Region,"September, 2022",6437.531412,6437.531412,0,0.00%
India,"Financial Year (Apr - Mar), 2022",Puducherry,Southern Region,"September, 2022",460.266691,459.951691,0.31,0.00%
India,"Financial Year (Apr - Mar), 2022",Punjab,Northern Region,"September, 2022",14187,14187,0,0.00%
